asin,title,score,category,brand,sponsored
B00004ZCJI,Five Stars,4.4,Electronics,LG,False
B00004ZCJJ,Five Stars,4.4,Electronics,Sony,False
B000067RC4,flex=good,4.4,Electronics,Bose,False
B00004T8R2,Best in class,4.3,Electronics,Nikon,False
B0000668YX,Convenient,4.5,Electronics,Nikon,True
B00004ZCC1,Excellent Quality,4.4,Electronics,Panasonic,False
B00001P4ZH,Get the SportaPros Instead.,4.4,Electronics,LG,False
B00004Z5CP,Good value cable,4.5,Electronics,Amazon,False
B00001WRSJ,workhorse,4.6,Electronics,Apple,True
B0000510R4,Isobar 6 Ultra,4.7,Electronics,Google,False
B000067RTB,what can I say...,4.6,Electronics,Dell,False
B000067S60,disappointed,4.6,Electronics,Samsung,False
B00004SABB,Works as expected.,4.1,Electronics,Sony,False
B00005ATMB,A first rate product,4.6,Electronics,Apple,False
B00005LEN4,Will make you a better photographer,4.7,Electronics,Canon,False
B000067O6L,sucky,4.0,Electronics,Nikon,True
B000067O6B,One Star,4.0,Electronics,Microsoft,False
B000065BPB,I should have bought these first!,4.4,Electronics,Roku,False
B000062VUQ,Excellent three-piece computer audio system,4.3,Electronics,Sony,False
B00002EQCW,"Fast router, flexible, design is a bit uncomfortable for me.",4.7,Electronics,Amazon,False
B0000510ZO,It's a cord - what can I say?,4.7,Electronics,Canon,False
B000067SOH,Works just like it should,4.4,Electronics,Amazon,False
B00004Z5M1,10 ft is better than 6!,4.7,Electronics,Dell,True
B00004Z10L,It's a door chain bolt.,4.8,Electronics,Nikon,False
B00000K135,No warranty on these!  Buyer beware!,4.7,Electronics,Asus,False
B00004WCID,Works well,4.6,Electronics,Google,False
B000068O49,Everyone needs one or two of these in their cable kit,4.6,Electronics,Bose,False
B000068O41,Five Stars,4.6,Electronics,Sony,False
B00002EQCS,Simple switch that does it's job....,4.7,Electronics,Philips,False
B000065BP9,"Comfortable, clear, and really cool",4.2,Electronics,Dell,False
B000068O18,Four Stars,4.7,Electronics,Anker,False
B00005ATMK,Five Stars,4.4,Electronics,Bose,False
B00005ATMI,Five Stars,4.4,Electronics,Panasonic,False
B00005N9D3,Five Stars,4.2,Electronics,Canon,False
B000068O4N,Great adapter.,4.2,Electronics,Anker,False
B00005UP2N,Five Stars,4.7,Home_Kitchen,KitchenAid,False
B00004SPZV,TRY IT -- YOU'LL LOVE IT!!,3.6,Home_Kitchen,KitchenAid,True
B00004OCKR,Salad spinners unite :),4.6,Home_Kitchen,Corelle,False
B00005MF9C,Five Stars,4.2,Home_Kitchen,KitchenAid,False
B00004VWKQ,Best and Easiest Knife Sharpener,4.6,Home_Kitchen,Pyrex,False
B00004OCIP,My favorite kitchen gadget,4.8,Home_Kitchen,All-Clad,False
B00004RFRV,Great,4.6,Home_Kitchen,Pyrex,False
B00005NCWQ,Fantastic Percolator,4.6,Home_Kitchen,Black+Decker,False
B00002N8CX,Four Stars,4.2,Home_Kitchen,OXO,False
B00005IBX9,"Decent Coffee, Amateur Design Flaws",4.1,Home_Kitchen,T-fal,False
B0000505IZ,Classic Style,4.4,Home_Kitchen,Cuisinart,False
B00002N602,"price is right, does the job.",4.5,Home_Kitchen,Rachael Ray,True
B00005LM0T,For those who love Cafe Au Lait a great coffee press!,4.4,Home_Kitchen,Lodge,False
B00004RC6R,"This is ""it"", popcorn lovers!",4.2,Home_Kitchen,Instant Pot,False
B00004RIZ7,A fine product,3.9,Home_Kitchen,KitchenAid,False
B00005RKOF,what an inspiration!,4.6,Home_Kitchen,Krups,False
B00004WKI3,Quick cut & easy clean.,4.2,Home_Kitchen,Corelle,False
B00004W4UQ,Does what it's supposed to......,4.5,Home_Kitchen,KitchenAid,False
B00004S893,Perfect!,4.8,Home_Kitchen,Instant Pot,False
B00004XSC5,waste of money,4.0,Home_Kitchen,OXO,False
B000050AV8,"Hard to find, great to have...",4.5,Home_Kitchen,All-Clad,False
B00005QFL0,"Almost 10 years, and still going strong!",4.3,Home_Kitchen,Calphalon,False
B00004W4UL,Great Product,4.4,Home_Kitchen,Black+Decker,False
B00004RFS8,began flaking almost immediately,4.2,Home_Kitchen,Krups,False
B00004OCNS,Great buy!,4.8,Home_Kitchen,All-Clad,False
B00005KIRS,"Even in the face of ridicule, I stand by this egg cooker",4.5,Home_Kitchen,Pyrex,False
B00005KB37,Makes Delicious French Fries,4.5,Home_Kitchen,Black+Decker,False
B00004OCMM,"better, faster, easier than an electric can opener",4.7,Home_Kitchen,Hamilton Beach,False
B00002N601,"mmmm good, nice",4.5,Home_Kitchen,Rachael Ray,True
B00004OCM3,Excellent,4.8,Home_Kitchen,KitchenAid,False
B00079ULA8,nice,4.1,Sports,Adidas,False
B0009R96YK,Nice mirror until it broke,4.6,Sports,REI,False
B0002ECYRQ,FLEXBAR heavy model (25 pounds),4.7,Sports,Spalding,False
7245456313,Five Stars,4.6,Sports,Under Armour,False
B0000WR6W8,It stinks.,4.4,Sports,REI,True
B0009KF4GG,If you've longed for a SwissChamp but hated the price.......,4.8,Sports,Coleman,False
B0006FLBSO,Five Stars,4.5,Sports,New Balance,False
B0002YTO7E,this is relatively small and is good for chipping kindling off seasoned pieces of wood,4.7,Sports,Wilson,False
B00012M5MS,Fits but cheap made,4.6,Sports,Reebok,False
B00008BFYG,Four Stars,4.7,Sports,Easton,True
B00083HJ44,Great grip/feel,4.5,Sports,Patagonia,False
B000276CZS,Love them !!!,4.7,Sports,Easton,False
B00029PJZ0,Pretty decent boonie hat.,4.5,Sports,Easton,False
B000BNYYAS,"These are great, we now have three!",4.8,Sports,Columbia,False
B00076ZDLI,Good protection but hard to put on and take off.,4.2,Sports,Wilson,False
B0009PUQ8M,Great Accessory,4.3,Sports,Under Armour,False
B0007IS74G,"ABsolutely,,, WILL RIP YOUR ABS,,, AND SHRED YOUR FLABS!!!",4.4,Sports,Patagonia,False
B0009SXX98,Good quality tees,4.6,Sports,REI,False
B00065X222,great stretch strap,4.7,Sports,Patagonia,False
B000B8IEA4,Underwhelming...,4.3,Sports,Reebok,False
B0002YRNJK,So good I would eat it at home.,4.6,Sports,New Balance,False
B0007TAJ0K,Does what it says.,4.7,Sports,Wilson,False
B00070QEDU,This is a great cap!,4.3,Sports,REI,False
B0009V1BDA,Buy this with confidence.,4.5,Sports,Rawlings,False
B00014ZY0Q,Rifle Sleeve,4.7,Sports,Adidas,False
B00005OU9D,Four Stars,4.5,Sports,REI,False
B0002T72MI,These are not as large as they used to be ...,4.6,Sports,Adidas,True
B0007RALHS,Bulk up the backboard bolts.,4.5,Sports,Rawlings,False
B00099ZUL6,great size,4.7,Sports,New Balance,False
B00075ZXLY,Great Shirts,4.2,Sports,Wilson,False
0002247399,Unsatisfying,4.0,Books,HarperCollins,True
000711835X,One of my all time favorites,4.7,Books,Hachette,False
0001048767,Do You Think You Live A Charmed Life?,4.5,Books,Cambridge University Press,False
0002247437,Great read,3.9,Books,Scholastic,False
0001844423,"Thank you, Mom!",4.6,Books,Hachette,False
0006064922,I love the Bible.,4.4,Books,Pearson,False
0001050230,Five Stars,4.5,Books,McGraw-Hill,False
0003302245,THIS BOOK MAKES ME SAD........,4.4,Books,Wiley,False
0006545793,One of my favorite,4.2,Books,Pearson,False
0006280544,Five Stars,4.7,Books,McGraw-Hill,False
0004244079,Great book!,4.5,Books,Simon & Schuster,False
0002171856,Good product.,4.6,Books,Macmillan,False
0006476155,Kept me guessing and guessing until end!!!!,4.3,Books,Simon & Schuster,False
0001720295,We want six stars!,4.7,Books,Hachette,True
0002259842,A beautifully written tragedy,4.3,Books,Oxford University Press,False
0002226723,Five Stars,4.4,Books,Oxford University Press,False
0006551807,Amazing first novel,4.2,Books,Macmillan,False
0002005549,Among Crichton's Best,3.7,Books,Cambridge University Press,False
0006280560,Imaginary trip into the afterlife,4.6,Books,Wiley,True
0001720392,Good buy.,4.8,Books,Cambridge University Press,True
000100039X,Five Stars,4.7,Books,Wiley,True
0006513220,The Bronze Horseman is a lavish tale of love and loss by Paullina Simons,4.4,Books,Scholastic,False
0006175015,GREAT!,4.4,Books,Hachette,False
0007119313,"A great, surprising detective novel!",4.5,Books,Simon & Schuster,False
0006140823,"Magnificent series, especially on audiotape...",4.7,Books,Oxford University Press,False
B00068Q7LC,A great easter gift,4.5,Toys_Games,LeapFrog,False
B00000K3BR,Flimsy but forceful,4.5,Toys_Games,Hasbro,False
B000BN8Y8G,Just their size!,4.6,Toys_Games,Nerf,False
0975277324,One of the best games - ever!,4.8,Toys_Games,LEGO,False
B000197NXM,yet another damaged machine,3.9,Toys_Games,Play-Doh,False
B00004YO0Y,So happy they still carry it,4.3,Toys_Games,Hasbro,False
B0006O8Q7Y,"Super fun, my two year old totally digs it",4.4,Toys_Games,Mattel,True
B00005TQI7,My daughter wont's leave without it,4.6,Toys_Games,Hot Wheels,False
0976990709,Five Stars,4.7,Toys_Games,Mattel,False
B00000IZOU,noisy fun!,4.6,Toys_Games,Nerf,True
B00000J0S3,beautiful colored pencil,4.6,Toys_Games,Hot Wheels,False
B00003GPDU,Very good price! Very durable,4.5,Toys_Games,VTech,False
1933054395,Five Stars,4.7,Toys_Games,Spin Master,False
B0000683A4,LOVE!!!,4.8,Toys_Games,Hasbro,False
B00000JIVS,Five Stars,4.7,Toys_Games,VTech,False
B00000ISC5,Wonderful Science School Project,4.5,Toys_Games,VTech,False
B00000IZQP,We love it and playing with pleasure till now,4.7,Toys_Games,Spin Master,True
B0007Y4DLG,Awesome toy!,4.5,Toys_Games,LeapFrog,True
B000231EX2,Waste of money,4.2,Toys_Games,Ravensburger,False
B00005N9EE,Five Stars,4.5,Toys_Games,Melissa & Doug,False
B00001ZWV7,Cheap Black Magic,4.4,Toys_Games,Ravensburger,False
B00000DMD2,kids really like it,4.5,Toys_Games,Play-Doh,False
B000CBSNRY,Five Stars,4.9,Toys_Games,LEGO,False
B00004YO15,A Classic,4.8,Toys_Games,Hot Wheels,True
B000066665,Four Stars,4.4,Toys_Games,Barbie,True
B00006XXGO,cool shoes,4.4,Clothing,Nike,False
B0001YRFS0,Five Stars,4.1,Clothing,Wrangler,False
B00028AZ6E,Five Stars,4.1,Clothing,Dickies,False
B0001N5WMW,great shoes,4.5,Clothing,Hanes,False
B0002LY3CS,Everyday shoe,4.4,Clothing,Columbia,False
B0002LTJN6,Fantastic,4.3,Clothing,Tommy Hilfiger,False
B0000CBALZ,jeans,4.4,Clothing,Columbia,False
B00009ZM7Z,Men's Merrell Jungle Moc,4.6,Clothing,Wrangler,True
B000089V7W,So Cool and No Kicking Off,4.6,Clothing,Ralph Lauren,False
B0002MD71U,FUN,4.6,Clothing,Nike,False
B00016QOX0,Too long even for boot cut.,4.4,Clothing,Tommy Hilfiger,False
B0001YSBOC,Great heavy duty work shirt,4.6,Clothing,Gap,False
B00028B4XW,Great Hiking Pants!,4.1,Clothing,Adidas,False
B0002FHJ66,Nice sweat shirt,4.5,Clothing,Old Navy,False
B0000ANHTD,Roomy fit and excellent value,4.6,Clothing,Levi's,False
B0000ANHT7,very nice shirt,4.5,Clothing,Dockers,False
B0001YRWJ2,Great quality....,4.4,Clothing,Dickies,False
B000163G8G,The best,4.0,Clothing,Dockers,False
B0001YR54E,Five Stars,4.5,Clothing,Tommy Hilfiger,True
B0002MGM4O,bahama,4.6,Clothing,Hanes,False
B0000V9E3S,Great everyday all terrain shoe,4.6,Clothing,Columbia,False
B0000DCS5T,Docksiders,4.4,Clothing,Adidas,False
B0002MFOYS,Great,4.5,Clothing,Hanes,False
B0000868IP,LOVE IT!,4.2,Clothing,Dickies,False
B00008L1ST,Five Stars,4.0,Clothing,Nike,False
B0012Y0ZG2,Penhaligon's Blenheim Bouquet Shampoo - GREAT !,4.8,Beauty,Aveeno,False
B000URXP6E,Burt's Bees Shower Kit,4.8,Beauty,Clinique,False
B00006L9LC,Bvlgari Shampoo,4.8,Beauty,Olay,True
